{3}	{4}	36.91	66.87
{4}	{3}	36.91	66.94
{3}	{7}	36.75	66.60
{7}	{3}	36.75	66.75
{4}	{6}	36.85	66.84
{6}	{4}	36.85	66.91
{5}	{7}	36.67	66.41
{7}	{5}	36.67	66.60
{0}	{2}	36.77	66.89
{2}	{0}	36.77	66.67
{0}	{5}	36.68	66.72
{5}	{0}	36.68	66.43
{1}	{6}	36.83	66.89
{6}	{1}	36.83	66.87
{0}	{8}	36.63	66.63
{8}	{0}	36.63	66.42
{2}	{5}	36.88	66.87
{5}	{2}	36.88	66.80
{1}	{3}	36.78	66.80
{3}	{1}	36.78	66.64
{2}	{8}	36.72	66.58
{8}	{2}	36.72	66.58
{6}	{8}	36.75	66.73
{8}	{6}	36.75	66.63
{4}	{5}	37.06	67.23
{5}	{4}	37.06	67.13
{5}	{6}	36.92	66.87
{6}	{5}	36.92	67.04
{4}	{8}	36.80	66.76
{8}	{4}	36.80	66.73
{3}	{6}	36.90	66.85
{6}	{3}	36.90	66.99
{0}	{1}	36.76	66.86
{1}	{0}	36.76	66.76
{0}	{7}	36.59	66.55
{7}	{0}	36.59	66.45
{2}	{4}	36.84	66.79
{4}	{2}	36.84	66.82
{1}	{2}	36.66	66.58
{2}	{1}	36.66	66.46
{0}	{4}	36.74	66.83
{4}	{0}	36.74	66.64
{2}	{7}	36.79	66.71
{7}	{2}	36.79	66.82
{1}	{5}	36.89	66.99
{5}	{1}	36.89	66.80
{1}	{8}	36.77	66.77
{8}	{1}	36.77	66.66
{6}	{7}	36.71	66.66
{7}	{6}	36.71	66.68
{4}	{7}	36.82	66.79
{7}	{4}	36.82	66.88
{3}	{5}	36.91	66.87
{5}	{3}	36.91	66.84
{3}	{8}	36.81	66.70
{8}	{3}	36.81	66.75
{5}	{8}	36.78	66.62
{8}	{5}	36.78	66.69
{0}	{3}	36.75	66.85
{3}	{0}	36.75	66.59
{1}	{4}	36.83	66.89
{4}	{1}	36.83	66.81
{0}	{6}	36.75	66.85
{6}	{0}	36.75	66.73
{2}	{3}	36.76	66.66
{3}	{2}	36.76	66.61
{1}	{7}	36.70	66.66
{7}	{1}	36.70	66.66
{2}	{6}	36.83	66.78
{6}	{2}	36.83	66.88
{7}	{8}	36.77	66.77
{8}	{7}	36.77	66.66
{4}	{9}	36.75	66.66
{9}	{4}	36.75	66.92
{8}	{9}	36.63	66.41
{9}	{8}	36.63	66.69
{1}	{9}	36.70	66.64
{9}	{1}	36.70	66.82
{3}	{9}	36.74	66.57
{9}	{3}	36.74	66.90
{5}	{9}	36.77	66.60
{9}	{5}	36.77	66.96
{7}	{9}	36.68	66.63
{9}	{7}	36.68	66.80
{0}	{9}	36.64	66.65
{9}	{0}	36.64	66.72
{2}	{9}	36.76	66.66
{9}	{2}	36.76	66.94
{6}	{9}	36.71	66.66
{9}	{6}	36.71	66.84
{5}	{6,8}	27.67	50.11
{6}	{5,8}	27.67	50.25
{5,6}	{8}	27.67	74.95
{8}	{5,6}	27.67	50.17
{5,8}	{6}	27.67	75.23
{6,8}	{5}	27.67	75.30
{1}	{5,7}	27.55	50.03
{5}	{1,7}	27.55	49.89
{1,5}	{7}	27.55	74.69
{7}	{1,5}	27.55	50.03
{1,7}	{5}	27.55	75.06
{5,7}	{1}	27.55	75.12
{0}	{1,6}	27.67	50.33
{1}	{0,6}	27.67	50.25
{0,1}	{6}	27.67	75.27
{6}	{0,1}	27.67	50.24
{0,6}	{1}	27.67	75.29
{1,6}	{0}	27.67	75.13
{4}	{6,7}	27.67	50.18
{6}	{4,7}	27.67	50.24
{4,6}	{7}	27.67	75.08
{7}	{4,6}	27.67	50.25
{4,7}	{6}	27.67	75.13
{6,7}	{4}	27.67	75.36
{1}	{4,8}	27.67	50.25
{4}	{1,8}	27.67	50.19
{1,4}	{8}	27.67	75.12
{8}	{1,4}	27.67	50.16
{1,8}	{4}	27.67	75.25
{4,8}	{1}	27.67	75.17
{2}	{4,5}	27.81	50.43
{4}	{2,5}	27.81	50.45
{2,4}	{5}	27.81	75.50
{5}	{2,4}	27.81	50.37
{2,5}	{4}	27.81	75.41
{4,5}	{2}	27.81	75.04
{0}	{2,4}	27.65	50.30
{2}	{0,4}	27.65	50.14
{0,2}	{4}	27.65	75.20
{4}	{0,2}	27.65	50.16
{0,4}	{2}	27.65	75.27
{2,4}	{0}	27.65	75.07
{6}	{7,8}	27.56	50.04
{7}	{6,8}	27.56	50.05
{6,7}	{8}	27.56	75.06
{8}	{6,7}	27.56	49.96
{6,8}	{7}	27.56	74.99
{7,8}	{6}	27.56	74.95
{1}	{6,8}	27.62	50.17
{6}	{1,8}	27.62	50.16
{1,6}	{8}	27.62	75.00
{8}	{1,6}	27.62	50.08
{1,8}	{6}	27.62	75.13
{6,8}	{1}	27.62	75.16
{3}	{7,8}	27.50	49.83
{7}	{3,8}	27.50	49.95
{3,7}	{8}	27.50	74.83
{8}	{3,7}	27.50	49.87
{3,8}	{7}	27.50	74.71
{7,8}	{3}	27.50	74.81
{0}	{1,8}	27.56	50.13
{1}	{0,8}	27.56	50.05
{0,1}	{8}	27.56	74.97
{8}	{0,1}	27.56	49.97
{0,8}	{1}	27.56	75.23
{1,8}	{0}	27.56	74.96
{0}	{3,5}	27.54	50.10
{3}	{0,5}	27.54	49.91
{0,3}	{5}	27.54	74.95
{5}	{0,3}	27.54	49.89
{0,5}	{3}	27.54	75.10
{3,5}	{0}	27.54	74.63
{2}	{6,7}	27.61	50.05
{6}	{2,7}	27.61	50.13
{2,6}	{7}	27.61	74.96
{7}	{2,6}	27.61	50.14
{2,7}	{6}	27.61	75.04
{6,7}	{2}	27.61	75.20
{4}	{7,8}	27.67	50.19
{7}	{4,8}	27.67	50.26
{4,7}	{8}	27.67	75.15
{8}	{4,7}	27.67	50.17
{4,8}	{7}	27.67	75.19
{7,8}	{4}	27.67	75.27
{2}	{4,7}	27.66	50.16
{4}	{2,7}	27.66	50.18
{2,4}	{7}	27.66	75.09
{7}	{2,4}	27.66	50.24
{2,7}	{4}	27.66	75.19
{4,7}	{2}	27.66	75.13
{0}	{2,6}	27.63	50.26
{2}	{0,6}	27.63	50.10
{0,2}	{6}	27.63	75.15
{6}	{0,2}	27.63	50.18
{0,6}	{2}	27.63	75.19
{2,6}	{0}	27.63	75.03
{1}	{7,8}	27.54	50.03
{7}	{1,8}	27.54	50.03
{1,7}	{8}	27.54	75.05
{8}	{1,7}	27.54	49.94
{1,8}	{7}	27.54	74.92
{7,8}	{1}	27.54	74.92
{0}	{3,7}	27.44	49.91
{3}	{0,7}	27.44	49.72
{0,3}	{7}	27.44	74.67
{7}	{0,3}	27.44	49.84
{0,7}	{3}	27.44	75.00
{3,7}	{0}	27.44	74.66
{1}	{3,4}	27.68	50.26
{3}	{1,4}	27.68	50.14
{1,3}	{4}	27.68	75.25
{4}	{1,3}	27.68	50.20
{1,4}	{3}	27.68	75.14
{3,4}	{1}	27.68	74.99
{2}	{7,8}	27.55	49.95
{7}	{2,8}	27.55	50.03
{2,7}	{8}	27.55	74.87
{8}	{2,7}	27.55	49.95
{2,8}	{7}	27.55	75.02
{7,8}	{2}	27.55	74.93
{3}	{4,5}	27.79	50.35
{4}	{3,5}	27.79	50.40
{3,4}	{5}	27.79	75.30
{5}	{3,4}	27.79	50.33
{3,5}	{4}	27.79	75.29
{4,5}	{3}	27.79	74.97
{0}	{2,8}	27.47	49.97
{2}	{0,8}	27.47	49.81
{0,2}	{8}	27.47	74.71
{8}	{0,2}	27.47	49.81
{0,8}	{2}	27.47	74.99
{2,8}	{0}	27.47	74.81
{0}	{6,8}	27.57	50.14
{6}	{0,8}	27.57	50.05
{0,6}	{8}	27.57	75.00
{8}	{0,6}	27.57	49.98
{0,8}	{6}	27.57	75.25
{6,8}	{0}	27.57	75.01
{3}	{5,6}	27.75	50.29
{5}	{3,6}	27.75	50.26
{3,5}	{6}	27.75	75.20
{6}	{3,5}	27.75	50.39
{3,6}	{5}	27.75	75.22
{5,6}	{3}	27.75	75.17
{0}	{1,3}	27.54	50.09
{1}	{0,3}	27.54	50.01
{0,1}	{3}	27.54	74.91
{3}	{0,1}	27.54	49.89
{0,3}	{1}	27.54	74.92
{1,3}	{0}	27.54	74.87
{4}	{5,6}	27.87	50.56
{5}	{4,6}	27.87	50.48
{4,5}	{6}	27.87	75.20
{6}	{4,5}	27.87	50.61
{4,6}	{5}	27.87	75.64
{5,6}	{4}	27.87	75.49
{1}	{3,6}	27.64	50.21
{3}	{1,6}	27.64	50.09
{1,3}	{6}	27.64	75.17
